Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Sarepta Therapeutics / US Army Medical Research Institute of Infectious Diseases (USAMRIID),Treatment,RNA-based treatments,Pre-clinical,Unknown,"Antisense oligonucleotides, peptide conjugated",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/1/2020
AIM ImmunoTech / National Institute of Infectious Diseases in Japan,Treatment,RNA-based treatments,Pre-clinical,Unknown,Ampligen; (rintatolimod),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
COVID-19 Therapeutics Accelerator,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compound libraries,,Gates Foundation / Wellcome / Mastercard Impact Fund,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/1/2020
Vir Biotechnology / GSK,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Identify anti-coronavirus compounds that target cellular host genes,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/29/2020
Southwest Research Institute,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening drug compounds,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Janssen Pharmaceutical Companies,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning library of antiviral compounds,,Biomedical Advanced Research and Development Authority (BARDA),,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Anixa Biosciences / OntoChem,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening for antiviral drug candidates,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
Vanda Pharmaceuticals / University of Illinois at Chicago,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening of drug compounds,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/29/2020
Queens University Belfast,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compounds to repurpose,,UK Government,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Healx,Treatment,Scanning compounds to repurpose,Pre-clinical,Combinations will be ready for pre-clinical testing in May 2020,Artificial intellegence-based screening to identify repurposed drug combinations,,Unknown,,N/A,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Materia Medica / Cyclica,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Repurposing antiviral drug candidates,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Takeda,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compounds to repurpose,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Enanta Pharmaceuticals,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening new drugs + library of antiviral compounds,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Shionogi / Hokkaido University Research Center for Zoonosis Control,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Identify novel drugs,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/29/2020
Nuritas,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,AI-based screening to identify a peptide cocktail,,Partnership for Advanced Computing in Europe (PACE),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
Pfizer,Treatment,Scanning compounds to repurpose,Pre-clinical,Lead candidate (protease inhibitor) to start Phase I trial in Q3 2020,Scanning antiviral compounds previously in development,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Novartis,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compounds to repurpose,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Sanford Burnham Prebys Medical Discovery Institute, the University of Hong Kong, Scripps Research, UC San Diego School of Medicine, the Icahn School of Medicine at Mount Sinai and UCLA",Treatment,Scanning compounds to repurpose,Pre-clinical,Identified 30 known drugs that inhibit SARS-CoV-2 replication,Identifying drugs to repurpose,,Unknown,bioRxiv (https://doi.org/10.1101/2020.04.16.044016),,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
The Castleman Disease Collaborative Network and the Center for Study & Treatment of Inflammatory Lymphadenopathies,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Identifying drugs to repurpose,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Merck,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Scanning compounds to repurpose,,Unknown,,N/A,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Southwest
  Research Institute/ US Department of Defense (DOD)",Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening drug compounds,,The Henry M. Jackson Foundation for the Advancement of Military Medicine,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Wyss
  Institute",Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Identify FDA-approved drugs to repurpose to prevent or treat COVID-19,,US Defense Advanced Research Projects Agency (DARPA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Exscalate4Cov,
  public-private consortium",Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Screening a chemical library of 500 billion molecules,,European Commision's Horizon 2020,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/22/2020
Quantitative Biosciences Institute Coronavirus Research Group,Treatment,Scanning compounds to repurpose,Pre-clinical,Unknown,Reviewing existing drugs and compounds through mapping viral-human protein interactions,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/1/2020
Bioxytran,Treatment,Other,Pre-clinical,Unknown,BXT-25; glycoprotein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Evelo Biosciences/ Rutgers University/ Robert Wood Johnson University Hospital/ TACTIC-E trial (Cambridge University Hospitals NHS Foundation Trust),Treatment,Other,Clinical,Part of Phase II/III Phase TACTIC-E trial and interim data expected 4Q 2020; Phase II US trial to start July 2020,"EDP1815, oral single strain of microbe ",NCT04393246,Unknown,,Psoriasis and Atopic Dermatitis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
MedinCell/ University of Utah/ Surgisphere Corp; University of Baghdad; Tanta University; other global research sponsors,Treatment,Other,Clinical,Unknown,ivermectin,"NCT04343092, NCT04345419, NCT04351347, NCT04407507, NCT04392713, NCT04425707, NCT04438850, NCT04405843, NCT04429711, NCT04374279, NCT04360356, NCT04381884",Unknown,medRxiv (https://doi.org/10.1101/2020.06.06.20124461),,"FDA-approved since 1996, approved to treat intestinal parasites and head lice infestations",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Vanda Pharmaceuticals / Feinstein Institutes for Medical Research at Northwell Health,Treatment,Other,Clinical,Phase III trial started in April 2020,"tradipitant, a neurokinin-1 receptor antagonist",NCT04326426,Unknown,,"Gastroparesis, motion sickness, and atopic dermatitis",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/29/2020
Can-Fite BioPharma,Treatment,Other,Clinical,IND (investigational new drug application) expected to be filed with FDA by end of June 2020,"piclidenoson, A3 adenosine receptor agonist",NCT04333472,Unknown,,Rheumatoid arthritis; psoriasis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Eagle Pharmaceuticals / Amneal Pharmaceuticals / Alcami Corporation / Hackensack University Medical Center,Treatment,Other,Clinical,Unknown,"Ryanodex (dantrolene sodium), skeletal muscle relaxant",,Unknown,,,"FDA-approved since 2014, approved to prevent and treat malignant hyperthermia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
"Novartis / Incyte, numerous researchers globally",Treatment,Other,Clinical,Novartis/Incyte Phase III trial started April 2020; Expanded access protocols,Jakafi/jakavi (ruxolitinib),"ChiCTR2000029580, NCT04334044, NCT04331665, NCT04337359, NCT04348071, NCT04338958, NCT04348695, NCT04355793, NCT04354714, NCT04377620, NCT04362137, NCT04366232, NCT04361903, NCT04374149, NCT04338958, NCT04359290, NCT04414098, NCT04403243",LIfeArc (RAVEN trial),J. Allergy & Clinical Immuno. (https://www.jacionline.org/article/S0091-6749(20)30738-7/abstract),,"FDA-approved since 2011, approved to treat myelofibrosis, polycythemia vera, and acute graft-versus-host disease",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/25/2020
Romark Laboratories; various researchers globally,Treatment,Other,Clinical,Unknown,"nitazoxanide, antiprotozoal","NCT04351347

NCT04348409

NCT04343248

NCT04341493

NCT04345419",Unknown,,,"FDA-approved since 2002, approved to treat diarrhea caused by Giardia lamblia or Cryptosporidum parvum",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
CEL-SCI / University of Georgia Center for Vaccines and Immunology,Treatment,Other,Pre-clinical,Unknown,Peptides targeting the NP protein,,Unknown,,,Unknown,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Zydus Cadila Group; The Camelot Foundation
",Treatment,Other,Clinical,Phase II/III enrolling May 2020,"interferon/peginterferon alpha-2b, PegIntron, Sylatron, IntronA, PegiHep 
","NCT04273763

NCT04349410",Unknown,medRxiv (https://doi.org/10.1101/2020.05.29.20109199),,"PegIntron - FDA-approved since 2001, approved to treat hepatitis C; Sylatron - FDA-approved since 2001, approved for the adjuvant treatment of melanoma; Intron A - FDA-approved since 1986, approved to treat hepatitis C and certain cancers",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/16/2020
Cyclacel Pharmaceuticals / University of Edinburgh,Treatment,Other,Clinical,Unknown,"roscovitine seliciclib, cyclin-dependent kinase (CDK)2/9 inhibitor",,LifeArc,,Rheumatoid arthritis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
aTyr,Treatment,Other,Clinical,Phase II study started in June 2020,"ATYR1923, fusion protein (immuno-modulatory domain of histidyl tRNA synthetase fused to the Fc region of a human antibody) modulator of neuropilin-2",NCT04412668,Unknown,,Pulmonary sarcoidosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Partner Therapeutics/ Singapore General Hospital/ University Hospital, Ghent",Treatment,Other,Clinical,Phase II and Phase IV trials recruiting July 2020,"Leukine (sargramostim, rhu-Granulocyte macrophage colony stimulating factor )","NCT04326920, NCT04400929",Unknown,,Pulmonary conditions that affect alveolar macrophases (nebulized leukine); ARDS (IV leukine),"FDA-approved since 1991, approved to shorten the time to neutrophil recovery and reduce the incidence of infections following chemotherapy, mobilize hematopoietic progenitor cells, accelerate myeloid reconstitution following bone marrow or cell transplantation, treat delayed neutrophil recovery or graft failure after bone marrow transplantation, and increase survival of radiation",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Aldeyra Therapeutics,Treatment,Other,Clinical,IND submission to FDA in Q3 2020,"ADX-1612, HSP 90 inhibitor",,Unknown,,Various cancers,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
"Chimerix
",Treatment,Other,Clinical,Phase II/III trial recruiting July 2020,"DSTAT (dociparstat sodium), glycosaminoglycan derivative of heparin
",NCT04389840,Unknown,,"Acute myeloid leukemia
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Biomarck Pharmaceuticals,Treatment,Other,Clinical,Unknown,"BIO-11006, inhaled peptide",,Unknown,,Acute Respiratory Distress Syndrome; Non-Small Cell Lung Cancer; Chronic Obstructive Pulmonary Disease (COPD),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
Shanghai Jiao Tong University School of Medicine,Treatment,Other,Clinical,Phase III trial recruiting May 2020,Recombinant human interferon alpha-1b,NCT04320238,Unknown,medRxiv (https://doi.org/10.1101/2020.04.11.20061473),,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
"SciTech Development, LLC",Treatment,Other,Clinical,Unknown,"ST-001 nanoFenretinide (fenretinide)
",,Unknown,,non-Hodgkin's lymphoma,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Beth Israel Deaconess, the University of Colorado Anschultz Medical Campus, and Denver Health (Genentech); University College London",Treatment,Other,Clinical,Phase II trial recruiting; Individual patient expanded access,"Activase (alteplase), tissue plasminogen activator (tPA)","NCT04357730, NCT04356833",Unknown,,,"FDA-approved since 1987, approved to treat stroke, myocardial infarction, and pulmonary embolism",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Multiple global research sponsors, including UK SPIKE-1 trial",Treatment,Other,Clinical,"Phase I/II, Phase II, and Phase III trials recruiting in May 2020","camostat mesylate, transmembrane protease serine 2 (TMPRSS2) inhibitor, approved in Japan to treat multiple conditions including pancreatitis","NCT04321096

NCT04353284

NCT04338906

NCT04374019

NCT04355052",LIfeArc (SPIKE-1 trial),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/5/2020
Massachusetts General Hospital; University of British Columbia; Sanotize Research and Development; Bellerophon Pulse Technologies,Treatment,Other,Clinical,Mass. General Hopsital Phase II trial ongoing July 2020; other Phase II trials recruiting July 2020,Nitric oxide,"NCT04305457, NCT04312243, NCT04306393, NCT03331445, NCT04443868, NCT04337918, NCT04456088, NCT04421508, NCT04383002, NCT04388683, NCT04338828",Unknown,,,"FDA-approved since 1999, approved to improve oxygenation in neonates",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Multiple global research sponsors
",Treatment,Other,Clinical,"Phase II, Phase II/III, and Phase IV trials recruiting in May 2020","Cozaar (losartan), angiotensin II receptor blocker (ARB)
","NCT04312009

NCT04311177

NCT04349410

NCT04335123

NCT04343001

NCT04328012

NCT04340557","COVID-19 Treatment Accelerator 
",,,"FDA-approved since 1995, approved to treat hypertension and diabetic nephropathy",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/8/2020
Amgen,Treatment,Other,Clinical,Unknown,"Otezla (apremilast), inhibitor of phosphodiesterase 4 (PDE4)",,Unknown,,,"FDA-approved since 2014, approved to treat psoriatic arthritis, severe plaque psoriasis, and oral ulcers associated with Behcet's Disease",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Immunic, Inc.",Treatment,Other,Clinical,"Phase II trial started June 2020, top line results expected in 2020","IMU-838, selective oral dihydroorotate dehydrogenase (DHODH) inhibitor",,Unknown,,Ulcerative colitis; remitting multiple sclerosis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Numerous research sponsors globally,Treatment,Other,Clinical,Open label Greek study results published June 2020,colchicine,"NCT04326790, NCT04328480, NCT04322565, NCT04322682, NCT04392141, NCT04375202, NCT04355143, NCT04360980, NCT04350320, NCT04416334, NCT04403243, NCT04363437, NCT04324463, NCT04367168",Unknown,JAMA Network Open (https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2767593),,"N/A (but has been used in the US since the early 1800s, and FDA-approved in combination with probenecid, approved to treat gout)",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/25/2020
Innovation Pharmaceuticals,Treatment,Other,Clinical,Unknown,"Brilacidin, a defensin mimetic",,Unknown,,Oral Mucositis; Ulcerative Proctitis/Ulcerative Proctosigmoiditis; Acute Bacterial Skin and Skin Structure Infection,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Arch Biopartners,Treatment,Other,Clinical,FDA and Health Canada approved Phase II trial start in June 2020,"Metablok (LSALT peptide), selective dipeptidase-1 antagonist",NCT04402957,Unknown,,Lung and Kidney Inflammation,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Multiple global research sponsors, including University of Tokyo/ National Center for Global Health and Medicine/ Ensysce Biosciences/ Institut Pasteur Korea/ Daiichi Sankyo (inhalation formulation)",Treatment,Other,Clinical,University of Tokyo trial (IV formulation) starts April 2020; Ensysce trial will be with oral formulation,"nafamostat, approved in Japan to treat pancreatitis and other diseases","NCT04352400, NCT04418128",Unknown,Critical Care (https://doi.org/10.1186/s13054-020-03078-z),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
OncoImmune,Treatment,Other,Clinical,Phase III trial progress report released in June 2020,"CD24Fc, biological immunomodulator (nonpolymorphic regions of CD24 attached to the Fc region of human IgG1)",NCT04317040,Unknown,(https://www.businesswire.com/news/home/20200614005028/en/OncoImmune-Reports-Progress-Phase-III-Clinical-Trial),Graft versus Host Disease,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
PharmaMar/ Boryung Pharmaceutical/ Hospitals in Spain,Treatment,Other,Clinical,Phase I trial recruiting July 2020; Trials in Korea to start 3Q 2020,"Aplidin (plitidepsin), approved in Australia to treat multiple myeloma",NCT04382066,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Cyclacel Pharmaceuticals / University of Edinburgh,Treatment,Other,Clinical,Unknown,"fadraciclib (CYC065), cyclin-dependent kinase (CDK)2/9 inhibitor",,LifeArc,,Various cancers,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
NeuroRx/ Relief Therapeutics/ Thomas Jefferson University Hospital/ NYU Langone Health/ Houston Methodist Hospital,Treatment,Other,Clinical,FDA grants Fast Track Designation June 2020; Phase II/III trial started in April 2020; Expanded access protocols,"Aviptadil, synthetic form of Vasoactive Intestinal Polypeptide (RLF-100)","NCT04311697, NCT04453839, NCT04360096",Unknown,,"Sarcoid, Pulmonary Fibrosis, Bronchospasm, Erectile Dysfunction, and Acute Respiratory Distress Syndrome (ARDS)",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Apeptico,Treatment,Other,Clinical,Unknown,solnatide (synthetic molecule with a structure based on the lectin-like domain of human Tumour Necrosis Factor alpha),,EU Commission (Horizon 2020 Program),,"Pneumonia, sepsis, ARDS, Primary Graft Dysfunction, and pulmonary dysfunctions",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Panoptes Pharma GmbH,Treatment,Other,Clinical,Unknown,PP-001,,Unknown,,Severe eye diseases,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
4D Pharma,Treatment,Other,Clinical,Phase II enrolling July 2020,"MRx-4DP0004, strain of Bifidobacterium breve isolated from the gut microbiome of a healthy human","NCT04363372, EudraCT 2020-001597-30",Unknown,,Asthma,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
ARMS Pharmaceutical / UH Cleveland Medical Center / Case Western Reserve University,Treatment,Other,Clinical,Trial starts April 2020,ARMS-1,,Cleveland Foundation,,Influenza prophylaxis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Blade Therapeutics,Treatment,Other,Clinical,Unknown,"BLD-2660, synthetic small molecule inhibitor of calpain (CAPN) 1, 2, and 9",NCT04334460,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Laurent Pharmaceuticals,Treatment,Other,Clinical,Phase II trial recruiting July 2020,LAU-7b (fenretinide),NCT04417257,Unknown,,Treat exaggerated inflammatory response in adult cystic fibrosis patients,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
ImmunityBio / NantKwest,Treatment,Other,Clinical,Phase Ib trial to start June 2020,"N-803, IL-15 ""superagonist"" (Nogapendekin alfa inbakicept)",NCT04385849,Unknown,,Bladder Carcinoma In Situ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Institut National de la Sante et de la Recherche Medicale (Merck KGaA),Treatment,Other,Clinical,Phase III trial recruiting May 2020,Rebif (interferon beta-1a),"EudraCT 2020-000936-23     

NCT04315948",Unknown,,,"FDA-approved since 2002, approved to treat multiple sclerosis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Chelation Partners,Treatment,Other,Pre-clinical,Unknown,"DIBI, iron-binding polymer",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
KD Pharma / SLA Pharma,Treatment,Other,Clinical,Unknown,"EPAspire, oral formulation of highly purified eicosapentaenoic acid free fatty acid (EPA-FFA) in gastro-resistant capsules",,Unknown,,Familial adenomatous polyposis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"MediciNova/ Yale
",Treatment,Other,Clinical,Phase II trial FDA approved and not yet recruiting July 2020  ,"MN-166 (ibudilast), orally bioavailable, small molecule macrophase migration inhibitory factor (MIF) inhibitor and phosphodiesterase (PDE) -4 and -10 inhibitor",NCT04429555,Unknown,,"Treatment of numerous neurodegenerative diseases and substance dependence
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Aldeyra Therapeutics,Treatment,Other,Clinical,IND submission to FDA in June 2020,"ADX-629, orally available reactive aldehyde species (RASP) inhibitor",,Unknown,,Systemic immune-mediated diseases,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
"AstraZeneca; ACCORD study 
",Treatment,Other,Clinical,Case series results released June 2020; ACCORD Phase II trial to start May 2020,"Calquence (acalabrutinib), Bruton's tyrosine kinase (BTK) inhibitor","NCT04346199

NCT04380688","UK Government (ACCORD study)
",Science Immunology (https://immunology.sciencemag.org/content/5/48/eabd0110),,"FDA-approved since 2017, approved to treat mantle cell lymphoma and chronic lymphocytic leukemia",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
CalciMedica,Treatment,Other,Clinical,Open label phase II trial top line data released July 2020; Phase II trial recruiting July 2020,"Auxora (CM4620-IE), calcium release-activated calcium (CRAC) channel inhibtor",NCT04345614,Unknown,CalciMedica (https://www.calcimedica.com/news/calcimedica-announces-positive-topline-data-from-interim-analysis-of-trial-evaluating-auxora-in-patients-with-severe-covid-19-pneumonia),Pancreatitis,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Pneumagen Ltd.,Treatment,Other,Pre-clinical,Unknown,"Neumifil, multivalent carbohydrate binding molecules",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
"Multiple global research sponsors
",Treatment,Other,Clinical,Phase IV trials recruiting May 2020,"Diovan (valsartan), angiotensin II receptor blocker (ARB)","NCT04335786

NCT04330300",Unknown,,,"FDA-approved since 1996, approved to treat hypertension, treat heart failure, and reduce cardiovascular mortality in patients after myocardial infarction",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/8/2020
